Plate_ID,Well_Row,Well_Col,Well,Sample,Type,number_of_cells/capsules,Group_1,Group_2,Group_3
,C,9,C9,,unused,,,,
,D,9,D9,,sample,300,Rep2,BONCAT+,
,E,9,E9,,sample,300,Rep2,BONCAT+,
,F,9,F9,,sample,300,Rep2,BONCAT+,
,G,9,G9,,sample,300,Rep2,BONCAT+,
,H,9,H9,,sample,300,Rep2,BONCAT+,
,I,9,I9,,sample,300,Rep2,SYTO+,
,J,9,J9,,sample,300,Rep2,SYTO+,
,K,9,K9,,sample,300,Rep2,SYTO+,
,L,9,L9,,unused,,,,
,M,9,M9,,unused,,,,
,N,9,N9,,unused,,,,
,O,9,O9,,unused,,,,
,P,9,P9,,unused,,,,
,A,10,A10,,unused,,,,
,B,10,B10,,unused,,,,
,C,10,C10,,unused,,,,
,D,10,D10,,neg_cntrl,0,Reagent_only,,
,E,10,E10,,neg_cntrl,0,Reagent_only,,
,F,10,F10,,neg_cntrl,0,Reagent_only,,
,G,10,G10,,neg_cntrl,0,Reagent_only,,
,H,10,H10,,neg_cntrl,0,Reagent_only,,
,I,10,I10,,neg_cntrl,0,Reagent_only,,
,J,10,J10,,neg_cntrl,0,Reagent_only,,
,K,10,K10,,neg_cntrl,0,Reagent_only,,
,L,10,L10,,unused,,,,
,M,10,M10,,unused,,,,
,N,10,N10,,unused,,,,
,O,10,O10,,unused,,,,
,P,10,P10,,unused,,,,
,A,11,A11,,unused,,,,
,B,11,B11,,unused,,,,
,C,11,C11,,unused,,,,
,D,11,D11,,sample,300,Rep3,BONCAT+,
,E,11,E11,,sample,300,Rep3,BONCAT+,
,F,11,F11,,sample,300,Rep3,BONCAT+,
,G,11,G11,,sample,300,Rep3,BONCAT+,
,H,11,H11,,sample,300,Rep3,BONCAT+,
,I,11,I11,,sample,300,Rep3,SYTO+,
,J,11,J11,,sample,300,Rep3,SYTO+,
,K,11,K11,,sample,300,Rep3,SYTO+,
,L,11,L11,,unused,,,,
,M,11,M11,,unused,,,,
,N,11,N11,,unused,,,,
,O,11,O11,,unused,,,,
,P,11,P11,,unused,,,,
,A,12,A12,,unused,,,,
,B,12,B12,,unused,,,,
,C,12,C12,,unused,,,,
,D,12,D12,,sample,300,Rep3,BONCAT+,
,E,12,E12,,sample,300,Rep3,BONCAT+,
,F,12,F12,,sample,300,Rep3,BONCAT+,
,G,12,G12,,sample,300,Rep3,BONCAT+,
,H,12,H12,,sample,300,Rep3,BONCAT+,
,I,12,I12,,sample,300,Rep3,SYTO+,
,J,12,J12,,sample,300,Rep3,SYTO+,
,K,12,K12,,sample,300,Rep3,SYTO+,
,L,12,L12,,unused,,,,
,M,12,M12,,unused,,,,
,N,12,N12,,unused,,,,
,O,12,O12,,unused,,,,
,P,12,P12,,unused,,,,
,A,13,A13,,unused,,,,
,B,13,B13,,unused,,,,
,C,13,C13,,unused,,,,
,D,13,D13,,sample,300,Rep3,BONCAT+,
,E,13,E13,,sample,300,Rep3,BONCAT+,
,F,13,F13,,sample,300,Rep3,BONCAT+,
,G,13,G13,,sample,300,Rep3,BONCAT+,
,H,13,H13,,sample,300,Rep3,BONCAT+,
,I,13,I13,,sample,300,Rep3,SYTO+,
,J,13,J13,,sample,300,Rep3,SYTO+,
,K,13,K13,,sample,300,Rep3,SYTO+,
,L,13,L13,,unused,,,,
,M,13,M13,,unused,,,,
,N,13,N13,,unused,,,,
,O,13,O13,,unused,,,,
,P,13,P13,,unused,,,,
,A,14,A14,,unused,,,,
,B,14,B14,,unused,,,,
,C,14,C14,,unused,,,,
,D,14,D14,,unused,,,,
,E,14,E14,,unused,,,,
,F,14,F14,,unused,,,,
,G,14,G14,,unused,,,,
,H,14,H14,,unused,,,,
,I,14,I14,,unused,,,,
,J,14,J14,,unused,,,,
,K,14,K14,,unused,,,,
,L,14,L14,,unused,,,,
,M,14,M14,,unused,,,,
,N,14,N14,,unused,,,,
,O,14,O14,,unused,,,,
,P,14,P14,,unused,,,,
,A,15,A15,,unused,,,,
,B,15,B15,,unused,,,,
,C,15,C15,,unused,,,,
,D,15,D15,,unused,,,,
,E,15,E15,,unused,,,,
,F,15,F15,,unused,,,,
,G,15,G15,,unused,,,,
,H,15,H15,,unused,,,,
,I,15,I15,,unused,,,,
,J,15,J15,,unused,,,,
,K,15,K15,,unused,,,,
,L,15,L15,,unused,,,,
,M,15,M15,,unused,,,,
,N,15,N15,,unused,,,,
,O,15,O15,,unused,,,,
,P,15,P15,,unused,,,,
,A,16,A16,,unused,,,,
,B,16,B16,,unused,,,,
,C,16,C16,,unused,,,,
,D,16,D16,,unused,,,,
,E,16,E16,,unused,,,,
,F,16,F16,,unused,,,,
,G,16,G16,,unused,,,,
,H,16,H16,,unused,,,,
,I,16,I16,,unused,,,,
,J,16,J16,,unused,,,,
,K,16,K16,,unused,,,,
,L,16,L16,,unused,,,,
,M,16,M16,,unused,,,,
,N,16,N16,,unused,,,,
,O,16,O16,,unused,,,,
,P,16,P16,,unused,,,,
,A,17,A17,,unused,,,,
,B,17,B17,,unused,,,,
,C,17,C17,,unused,,,,
,D,17,D17,,unused,,,,
,E,17,E17,,unused,,,,
,F,17,F17,,unused,,,,
,G,17,G17,,unused,,,,
,H,17,H17,,unused,,,,
,I,17,I17,,unused,,,,
,J,17,J17,,unused,,,,
,K,17,K17,,unused,,,,
,L,17,L17,,unused,,,,
,M,17,M17,,unused,,,,
,N,17,N17,,unused,,,,
,O,17,O17,,unused,,,,
,P,17,P17,,unused,,,,
,A,18,A18,,unused,,,,
,B,18,B18,,unused,,,,
,C,18,C18,,unused,,,,
,D,18,D18,,unused,,,,
,E,18,E18,,unused,,,,
,F,18,F18,,unused,,,,
,G,18,G18,,unused,,,,
,H,18,H18,,unused,,,,
,I,18,I18,,unused,,,,
,J,18,J18,,unused,,,,
,K,18,K18,,unused,,,,
,L,18,L18,,unused,,,,
,M,18,M18,,unused,,,,
,N,18,N18,,unused,,,,
,O,18,O18,,unused,,,,
,P,18,P18,,unused,,,,
,A,19,A19,,unused,,,,
,B,19,B19,,unused,,,,
,C,19,C19,,unused,,,,
,D,19,D19,,unused,,,,
,E,19,E19,,unused,,,,
,F,19,F19,,unused,,,,
,G,19,G19,,unused,,,,
,H,19,H19,,unused,,,,
,I,19,I19,,unused,,,,
,J,19,J19,,unused,,,,
,K,19,K19,,unused,,,,
,L,19,L19,,unused,,,,
,M,19,M19,,unused,,,,
,N,19,N19,,unused,,,,
,O,19,O19,,unused,,,,
,P,19,P19,,unused,,,,
,A,20,A20,,unused,,,,
,B,20,B20,,unused,,,,
,C,20,C20,,unused,,,,
,D,20,D20,,unused,,,,
,E,20,E20,,unused,,,,
,F,20,F20,,unused,,,,
,G,20,G20,,unused,,,,
,H,20,H20,,unused,,,,
,I,20,I20,,unused,,,,
,J,20,J20,,unused,,,,
,K,20,K20,,unused,,,,
,L,20,L20,,unused,,,,
,M,20,M20,,unused,,,,
,N,20,N20,,unused,,,,
,O,20,O20,,unused,,,,
,P,20,P20,,unused,,,,
,A,21,A21,,unused,,,,
,B,21,B21,,unused,,,,
,C,21,C21,,unused,,,,
,D,21,D21,,unused,,,,
,E,21,E21,,unused,,,,
,F,21,F21,,unused,,,,
,G,21,G21,,unused,,,,
,H,21,H21,,unused,,,,
,I,21,I21,,unused,,,,
,J,21,J21,,unused,,,,
,K,21,K21,,unused,,,,
,L,21,L21,,unused,,,,
,M,21,M21,,unused,,,,
,N,21,N21,,unused,,,,
,O,21,O21,,unused,,,,
,P,21,P21,,unused,,,,
,A,22,A22,,unused,,,,
,B,22,B22,,unused,,,,
,C,22,C22,,unused,,,,
,D,22,D22,,unused,,,,
,E,22,E22,,unused,,,,
,F,22,F22,,unused,,,,
,G,22,G22,,unused,,,,
,H,22,H22,,unused,,,,
,I,22,I22,,unused,,,,
,J,22,J22,,unused,,,,
,K,22,K22,,unused,,,,
,L,22,L22,,unused,,,,
,M,22,M22,,unused,,,,
,N,22,N22,,unused,,,,
,O,22,O22,,unused,,,,
,P,22,P22,,unused,,,,
,A,23,A23,,unused,,,,
,B,23,B23,,unused,,,,
,C,23,C23,,unused,,,,
,D,23,D23,,unused,,,,
,E,23,E23,,unused,,,,
,F,23,F23,,unused,,,,
,G,23,G23,,unused,,,,
,H,23,H23,,unused,,,,
,I,23,I23,,unused,,,,
,J,23,J23,,unused,,,,
,K,23,K23,,unused,,,,
,L,23,L23,,unused,,,,
,M,23,M23,,unused,,,,
,N,23,N23,,unused,,,,
,O,23,O23,,unused,,,,
,P,23,P23,,unused,,,,
,A,24,A24,,unused,,,,
,B,24,B24,,unused,,,,
,C,24,C24,,unused,,,,
,D,24,D24,,unused,,,,
,E,24,E24,,unused,,,,
,F,24,F24,,unused,,,,
,G,24,G24,,unused,,,,
,H,24,H24,,unused,,,,
,I,24,I24,,unused,,,,
,J,24,J24,,unused,,,,
,K,24,K24,,unused,,,,
,L,24,L24,,unused,,,,
,M,24,M24,,unused,,,,
,N,24,N24,,unused,,,,
,O,24,O24,,unused,,,,
,P,24,P24,,unused,,,,
